questionId,name,intent,question,query,type
1,"monthly savings","monthly savings","How much are you saving per month?",,"Prompt"
2,"rainy day fund","rainy day fund","Do you have a rainy day fund and, if so, how much?",,"Prompt"
3,"savings balance","savings balance","Do you have a savings account and how much in savings?",,"Prompt"
4,"pension contributions","pension contributions","Are you paying into your pension and if so how much?",,"Prompt"
5,"mortgage amount","mortgage amount","Do you have a mortgage and if so, how much?",,"Prompt"
6,"debt","debt","Do you have any loans or credit card debt and if so, how much?",,"Prompt"
7,"investments balance","investments balance","Do you have any investments and if so, how much?",,"Prompt"
8,"investment account","investment account","What type of investment account do you have?",,"Prompt"
9,"financial goal","financial goal","What is your financial goal?",,"Prompt"
10,"risk tolerance","risk tolerance","What is your risk tolerance?",,"Prompt"
11,"help to buy ISA","help to buy ISA","Do you have a help to buy ISA?",,"Prompt"
12,"monthly rent","monthly rent","Do you pay rent and if so, how much per month?",,"Prompt"
21,"monthly savings",,,,"Pull"
22,"rainy day fund",,,,"Pull"
23,"savings balance",,,,"Pull"
24,"pension contributions",,,,"Pull"
25,"mortgage amount",,,,"Pull"
26,"debt",,,,"Pull"
27,"investments balance",,,,"Pull"
28,"investment account",,,,"Pull"
29,"financial goal",,,,"Pull"
30,"risk tolerance",,,,"Pull"
31,"help to buy ISA",,,,"Pull"
32,"monthly rent",,,,"Pull"
